# x, y, z, Vx, Vy, Vz
-5.0191, 0, 89.5626, 10.001, -0.000545147, -0.0917413 
-5.0191, -1.5, 89.5626, 10.0028, -0.000345058, -0.0694114 
-5.0191, -1.70408, 89.5626, 10.0026, -0.000304755, -0.0395552 
-5.0191, -1.90816, 89.5626, 10.0025, -0.000264452, -0.00969896 
-5.0191, -2.11224, 89.5626, 10.0024, -0.000256957, 0.0196853 
-5.0191, -2.31633, 89.5626, 10.0025, -0.000276307, 0.0486835 
-5.0191, -2.52041, 89.5626, 10.0025, -0.000293573, 0.0765608 
-5.0191, -2.72449, 89.5626, 10.0022, -0.000292086, 0.0943509 
-5.0191, -2.92857, 89.5626, 10.002, -0.0002906, 0.112141 
-5.0191, -3.13265, 89.5626, 10.0016, -0.000229692, 0.123247 
-5.0191, -3.33673, 89.5626, 10.0011, -0.000136789, 0.130754 
-5.0191, -3.54082, 89.5626, 10.0007, -7.59704e-05, 0.137318 
-5.0191, -3.7449, 89.5626, 10.0003, -0.000143489, 0.140106 
-5.0191, -3.94898, 89.5626, 9.99995, -0.000211008, 0.142894 
-5.0191, -4.15306, 89.5626, 9.99962, -0.000176601, 0.144641 
-5.0191, -4.35714, 89.5626, 9.99931, -0.00010822, 0.146041 
-5.0191, -4.56122, 89.5626, 9.99905, -8.05549e-05, 0.147288 
-5.0191, -4.76531, 89.5626, 9.9989, -0.000147896, 0.148178 
-5.0191, -4.96939, 89.5626, 9.99876, -0.000215237, 0.149067 
-5.0191, -5.17347, 89.5626, 9.99862, -0.000178108, 0.149727 
-5.0191, -5.37755, 89.5626, 9.99848, -0.000122542, 0.150347 
-5.0191, -5.58163, 89.5626, 9.99838, -8.59348e-05, 0.150852 
-5.0191, -5.78571, 89.5626, 9.99832, -7.77644e-05, 0.151183 
-5.0191, -5.9898, 89.5626, 9.99827, -6.9594e-05, 0.151514 
-5.0191, -6.19388, 89.5626, 9.99824, -4.23582e-05, 0.15163 
-5.0191, -6.39796, 89.5626, 9.99821, -1.41191e-05, 0.151735 
-5.0191, -6.60204, 89.5626, 9.99821, 1.41197e-05, 0.151735 
-5.0191, -6.80612, 89.5626, 9.99824, 4.23582e-05, 0.15163 
-5.0191, -7.0102, 89.5626, 9.99827, 6.95933e-05, 0.151514 
-5.0191, -7.21429, 89.5626, 9.99832, 7.77644e-05, 0.151183 
-5.0191, -7.41837, 89.5626, 9.99838, 8.59355e-05, 0.150852 
-5.0191, -7.62245, 89.5626, 9.99848, 0.000122543, 0.150347 
-5.0191, -7.82653, 89.5626, 9.99862, 0.000178107, 0.149727 
-5.0191, -8.03061, 89.5626, 9.99876, 0.000215236, 0.149067 
-5.0191, -8.23469, 89.5626, 9.9989, 0.000147895, 0.148178 
-5.0191, -8.43878, 89.5626, 9.99905, 8.05538e-05, 0.147288 
-5.0191, -8.64286, 89.5626, 9.99931, 0.000108219, 0.146041 
-5.0191, -8.84694, 89.5626, 9.99962, 0.000176601, 0.144641 
-5.0191, -9.05102, 89.5626, 9.99995, 0.000211007, 0.142894 
-5.0191, -9.2551, 89.5626, 10.0003, 0.000143489, 0.140106 
-5.0191, -9.45918, 89.5626, 10.0007, 7.5971e-05, 0.137318 
-5.0191, -9.66327, 89.5626, 10.0011, 0.00013679, 0.130754 
-5.0191, -9.86735, 89.5626, 10.0016, 0.000229693, 0.123247 
-5.0191, -10.0714, 89.5626, 10.002, 0.0002906, 0.112141 
-5.0191, -10.2755, 89.5626, 10.0022, 0.000292086, 0.0943509 
-5.0191, -10.4796, 89.5626, 10.0025, 0.000293573, 0.0765608 
-5.0191, -10.6837, 89.5626, 10.0025, 0.000276307, 0.0486834 
-5.0191, -10.8878, 89.5626, 10.0024, 0.000256958, 0.0196853 
-5.0191, -11.0918, 89.5626, 10.0025, 0.000264452, -0.009699 
-5.0191, -11.2959, 89.5626, 10.0026, 0.000304756, -0.0395552 
-5.0191, -11.5, 89.5626, 10.0028, 0.00034506, -0.0694115 
-5.0191, 1.5, 89.5626, 10.0006, -0.000248011, -0.0492144 
-5.0191, 1.70408, 89.5626, 10.0005, -0.00023342, -0.0461679 
-5.0191, 1.90816, 89.5626, 10.0005, -0.000218828, -0.0431213 
-5.0191, 2.11224, 89.5626, 10.0004, -0.000208165, -0.0404721 
-5.0191, 2.31633, 89.5626, 10.0004, -0.000200717, -0.0381481 
-5.0191, 2.52041, 89.5626, 10.0004, -0.000193336, -0.035874 
-5.0191, 2.72449, 89.5626, 10.0003, -0.000186561, -0.0340499 
-5.0191, 2.92857, 89.5626, 10.0003, -0.000179786, -0.0322259 
-5.0191, 3.13265, 89.5626, 10.0003, -0.00017418, -0.0306372 
-5.0191, 3.33673, 89.5626, 10.0003, -0.000169203, -0.0291753 
-5.0191, 3.54082, 89.5626, 10.0003, -0.000164336, -0.027767 
-5.0191, 3.7449, 89.5626, 10.0002, -0.000159908, -0.0265737 
-5.0191, 3.94898, 89.5626, 10.0002, -0.00015548, -0.0253804 
-5.0191, 4.15306, 89.5626, 10.0002, -0.000151478, -0.0243418 
-5.0191, 4.35714, 89.5626, 10.0002, -0.000147617, -0.0233548 
-5.0191, 4.56122, 89.5626, 10.0002, -0.000143844, -0.0224159 
-5.0191, 4.76531, 89.5626, 10.0002, -0.000140275, -0.0215892 
-5.0191, 4.96939, 89.5626, 10.0001, -0.000136706, -0.0207625 
-5.0191, 5.17347, 89.5626, 10.0001, -0.000133325, -0.0200453 
-5.0191, 5.37755, 89.5626, 10.0001, -0.000129977, -0.0193474 
-5.0191, 5.58163, 89.5626, 10.0001, -0.000126669, -0.0186908 
-5.0191, 5.78571, 89.5626, 10.0001, -0.000123422, -0.018096 
-5.0191, 5.9898, 89.5626, 10.0001, -0.000120175, -0.0175013 
-5.0191, 6.19388, 89.5626, 10.0001, -0.000117028, -0.0169886 
-5.0191, 6.39796, 89.5626, 10.0001, -0.000113886, -0.0164803 
-5.0191, 6.60204, 89.5626, 10.0001, -0.000110737, -0.0160071 
-5.0191, 6.80612, 89.5626, 10.0001, -0.000107579, -0.0155691 
-5.0191, 7.0102, 89.5626, 10.0001, -0.000104425, -0.0151341 
-5.0191, 7.21429, 89.5626, 10.0001, -0.000101336, -0.0147576 
