# x, y, z, fx, fy, fz
-5.0191, 0, 89.5626, 0, 0, 0 
-5.0191, -1.5, 89.5626, 0.000418166, 7.85133e-21, -0.257763 
-5.0191, -1.70408, 89.5626, 0.00250913, 4.7108e-20, -1.54656 
-5.0191, -1.90816, 89.5626, 0.00502184, 9.42816e-20, -3.09281 
-5.0191, -2.11224, 89.5626, 0.0105224, 1.9755e-19, -4.38309 
-5.0191, -2.31633, 89.5626, 0.0244556, 4.59136e-19, -4.95096 
-5.0191, -2.52041, 89.5626, 0.0398568, 7.43013e-19, -5.39195 
-5.0191, -2.72449, 89.5626, 0.0539698, 2.61478e-19, -5.78518 
-5.0191, -2.92857, 89.5626, 0.0654775, -1.76805e-18, -6.08183 
-5.0191, -3.13265, 89.5626, 0.0766346, -3.93327e-18, -6.36637 
-5.0191, -3.33673, 89.5626, 0.0858938, -3.42701e-18, -6.62769 
-5.0191, -3.54082, 89.5626, 0.0923609, 1.00928e-18, -6.85484 
-5.0191, -3.7449, 89.5626, 0.0985617, 5.67007e-18, -7.07834 
-5.0191, -3.94898, 89.5626, 0.103624, 7.94201e-18, -7.27788 
-5.0191, -4.15306, 89.5626, 0.107457, 7.63452e-18, -7.45154 
-5.0191, -4.35714, 89.5626, 0.111187, 7.15887e-18, -7.62224 
-5.0191, -4.56122, 89.5626, 0.114273, 6.05752e-18, -7.76666 
-5.0191, -4.76531, 89.5626, 0.116848, 4.45937e-18, -7.89021 
-5.0191, -4.96939, 89.5626, 0.119355, 2.88913e-18, -8.0106 
-5.0191, -5.17347, 89.5626, 0.121322, 1.73964e-18, -8.10476 
-5.0191, -5.37755, 89.5626, 0.122977, 8.34445e-19, -8.18371 
-5.0191, -5.58163, 89.5626, 0.124548, 1.02042e-19, -8.25872 
-5.0191, -5.78571, 89.5626, 0.125573, 5.33789e-19, -8.30817 
-5.0191, -5.9898, 89.5626, 0.12637, 1.45384e-18, -8.34689 
-5.0191, -6.19388, 89.5626, 0.127055, 2.24749e-18, -8.3802 
-5.0191, -6.39796, 89.5626, 0.127212, 2.42975e-18, -8.38784 
-5.0191, -6.60204, 89.5626, 0.127212, 2.42982e-18, -8.38784 
-5.0191, -6.80612, 89.5626, 0.127055, 2.61445e-18, -8.3802 
-5.0191, -7.0102, 89.5626, 0.12637, 3.41843e-18, -8.34689 
-5.0191, -7.21429, 89.5626, 0.125573, 4.35042e-18, -8.30817 
-5.0191, -7.41837, 89.5626, 0.124548, 4.77722e-18, -8.25872 
-5.0191, -7.62245, 89.5626, 0.122977, 3.99961e-18, -8.1837 
-5.0191, -7.82653, 89.5626, 0.121322, 3.05013e-18, -8.10478 
-5.0191, -8.03061, 89.5626, 0.119355, 2.40701e-18, -8.01061 
-5.0191, -8.23469, 89.5626, 0.116848, 2.29151e-18, -7.89021 
-5.0191, -8.43878, 89.5626, 0.114273, 2.24581e-18, -7.76666 
-5.0191, -8.64286, 89.5626, 0.111187, 2.84019e-18, -7.62224 
-5.0191, -8.84694, 89.5626, 0.107457, 4.24074e-18, -7.45155 
-5.0191, -9.05102, 89.5626, 0.103624, 5.63183e-18, -7.27788 
-5.0191, -9.2551, 89.5626, 0.0985617, 5.79899e-18, -7.07834 
-5.0191, -9.45918, 89.5626, 0.092361, 4.83266e-18, -6.85484 
-5.0191, -9.66327, 89.5626, 0.0858938, 3.83107e-18, -6.62769 
-5.0191, -9.86735, 89.5626, 0.0766346, 2.92306e-18, -6.36637 
-5.0191, -10.0714, 89.5626, 0.0654774, 2.07865e-18, -6.08182 
-5.0191, -10.2755, 89.5626, 0.0539697, 1.27524e-18, -5.78517 
-5.0191, -10.4796, 89.5626, 0.0398568, 8.01604e-19, -5.39196 
-5.0191, -10.6837, 89.5626, 0.0244557, 4.91031e-19, -4.95097 
-5.0191, -10.8878, 89.5626, 0.0105224, 2.11272e-19, -4.38309 
-5.0191, -11.0918, 89.5626, 0.00502182, 1.0083e-19, -3.0928 
-5.0191, -11.2959, 89.5626, 0.00250912, 5.038e-20, -1.54656 
-5.0191, -11.5, 89.5626, 0.000418163, 8.39667e-21, -0.257762 
-5.0191, 1.5, 89.5626, 0, 0, 0 
-5.0191, 1.70408, 89.5626, 0, 0, 0 
-5.0191, 1.90816, 89.5626, 0, 0, 0 
-5.0191, 2.11224, 89.5626, 0, 0, 0 
-5.0191, 2.31633, 89.5626, 0, 0, 0 
-5.0191, 2.52041, 89.5626, 0, 0, 0 
-5.0191, 2.72449, 89.5626, 0, 0, 0 
-5.0191, 2.92857, 89.5626, 0, 0, 0 
-5.0191, 3.13265, 89.5626, 0, 0, 0 
-5.0191, 3.33673, 89.5626, 0, 0, 0 
-5.0191, 3.54082, 89.5626, 0, 0, 0 
-5.0191, 3.7449, 89.5626, 0, 0, 0 
-5.0191, 3.94898, 89.5626, 0, 0, 0 
-5.0191, 4.15306, 89.5626, 0, 0, 0 
-5.0191, 4.35714, 89.5626, 0, 0, 0 
-5.0191, 4.56122, 89.5626, 0, 0, 0 
-5.0191, 4.76531, 89.5626, 0, 0, 0 
-5.0191, 4.96939, 89.5626, 0, 0, 0 
-5.0191, 5.17347, 89.5626, 0, 0, 0 
-5.0191, 5.37755, 89.5626, 0, 0, 0 
-5.0191, 5.58163, 89.5626, 0, 0, 0 
-5.0191, 5.78571, 89.5626, 0, 0, 0 
-5.0191, 5.9898, 89.5626, 0, 0, 0 
-5.0191, 6.19388, 89.5626, 0, 0, 0 
-5.0191, 6.39796, 89.5626, 0, 0, 0 
-5.0191, 6.60204, 89.5626, 0, 0, 0 
-5.0191, 6.80612, 89.5626, 0, 0, 0 
-5.0191, 7.0102, 89.5626, 0, 0, 0 
-5.0191, 7.21429, 89.5626, 0, 0, 0 
-5.0191, 7.41837, 89.5626, 0, 0, 0 
-5.0191, 7.62245, 89.5626, 0, 0, 0 
-5.0191, 7.82653, 89.5626, 0, 0, 0 
-5.0191, 8.03061, 89.5626, 0, 0, 0 
-5.0191, 8.23469, 89.5626, 0, 0, 0 
