# x, y, z, Vx, Vy, Vz
-5.0191, 7.82653, 89.5626, 10.0001, -0.000101015, -0.0133885 
-5.0191, 8.03061, 89.5626, 10.0001, -9.72004e-05, -0.0130861 
-5.0191, 8.23469, 89.5626, 10.0001, -9.33965e-05, -0.0128019 
-5.0191, 8.43878, 89.5626, 10, -8.96645e-05, -0.012537 
-5.0191, 8.64286, 89.5626, 10, -8.59313e-05, -0.0122866 
-5.0191, 8.84694, 89.5626, 10, -8.22307e-05, -0.0120505 
-5.0191, 9.05102, 89.5626, 10, -7.85616e-05, -0.0118283 
-5.0191, 9.2551, 89.5626, 10, -7.48707e-05, -0.0116187 
-5.0191, 9.45918, 89.5626, 10, -7.12566e-05, -0.0114254 
-5.0191, 9.66327, 89.5626, 10, -6.75995e-05, -0.0112437 
-5.0191, 9.86735, 89.5626, 10, -6.39825e-05, -0.0110737 
-5.0191, 10.0714, 89.5626, 10, -6.03759e-05, -0.0109147 
-5.0191, 10.2755, 89.5626, 10, -5.67321e-05, -0.0107658 
-5.0191, 10.4796, 89.5626, 10, -5.31792e-05, -0.0106295 
-5.0191, 10.6837, 89.5626, 10, -4.95327e-05, -0.0105034 
-5.0191, 10.8878, 89.5626, 10, -4.59612e-05, -0.0103878 
-5.0191, 11.0918, 89.5626, 10, -4.237e-05, -0.0102811 
-5.0191, 11.2959, 89.5626, 10, -3.87396e-05, -0.0101831 
-5.0191, 11.5, 89.5626, 10, -3.52303e-05, -0.0100954 
