# x, y, z, Vx, Vy, Vz
-5.0191, 0, 89.5626, 10.0016, -0.000720448, -0.0934663 
-5.0191, -1.5, 89.5626, 10.006, -0.00349572, -0.165939 
-5.0191, -2.08824, 89.5626, 10.0081, -0.00323941, 0.0526768 
-5.0191, -2.67647, 89.5626, 10.0053, -0.00182135, 0.147792 
-5.0191, -3.26471, 89.5626, 10.002, -0.00104438, 0.156192 
-5.0191, -3.85294, 89.5626, 10.0005, -0.00107901, 0.161142 
-5.0191, -4.44118, 89.5626, 9.99983, -0.00102914, 0.163891 
-5.0191, -5.02941, 89.5626, 9.99932, -0.000748511, 0.165485 
-5.0191, -5.61765, 89.5626, 9.99908, -0.000552806, 0.166434 
-5.0191, -6.20588, 89.5626, 9.99892, -0.000180149, 0.166813 
-5.0191, -6.79412, 89.5626, 9.99892, 0.000180149, 0.166813 
-5.0191, -7.38235, 89.5626, 9.99908, 0.000552805, 0.166434 
-5.0191, -7.97059, 89.5626, 9.99932, 0.000748513, 0.165485 
-5.0191, -8.55882, 89.5626, 9.99983, 0.00102914, 0.163891 
-5.0191, -9.14706, 89.5626, 10.0005, 0.00107902, 0.161142 
-5.0191, -9.73529, 89.5626, 10.002, 0.00104438, 0.156192 
-5.0191, -10.3235, 89.5626, 10.0053, 0.00182135, 0.147791 
-5.0191, -10.9118, 89.5626, 10.0081, 0.00323941, 0.0526768 
-5.0191, -11.5, 89.5626, 10.006, 0.00349572, -0.165939 
-5.0191, 1.5, 89.5626, 10.0007, -0.000351699, -0.0478737 
-5.0191, 2.08824, 89.5626, 10.0005, -0.000294567, -0.0396275 
-5.0191, 2.67647, 89.5626, 10.0004, -0.000253748, -0.0335079 
-5.0191, 3.26471, 89.5626, 10.0003, -0.000223116, -0.0288938 
-5.0191, 3.85294, 89.5626, 10.0003, -0.000198737, -0.0252683 
-5.0191, 4.44118, 89.5626, 10.0002, -0.000178817, -0.0223938 
-5.0191, 5.02941, 89.5626, 10.0002, -0.000161832, -0.0200546 
-5.0191, 5.61765, 89.5626, 10.0001, -0.000146963, -0.0181393 
-5.0191, 6.20588, 89.5626, 10.0001, -0.000133544, -0.0165489 
-5.0191, 6.79412, 89.5626, 10.0001, -0.000121163, -0.0152226 
-5.0191, 7.38235, 89.5626, 10.0001, -0.000109503, -0.0141113 
-5.0191, 7.97059, 89.5626, 10.0001, -9.83224e-05, -0.0131751 
-5.0191, 8.55882, 89.5626, 10, -8.74685e-05, -0.0123897 
-5.0191, 9.14706, 89.5626, 10, -7.68247e-05, -0.0117297 
-5.0191, 9.73529, 89.5626, 10, -6.63229e-05, -0.0111837 
-5.0191, 10.3235, 89.5626, 10, -5.58961e-05, -0.0107337 
-5.0191, 10.9118, 89.5626, 10, -4.55387e-05, -0.0103752 
-5.0191, 11.5, 89.5626, 10, -3.52303e-05, -0.0100954 
