# x, y, z, Vx, Vy, Vz
-5.0191, 0, 89.5626, 10.0016, -0.000737555, -0.0937894 
-5.0191, -1.5, 89.5626, 10.0059, -0.00224445, -0.170004 
-5.0191, -1.70408, 89.5626, 10.0068, -0.00260904, -0.101469 
-5.0191, -1.90816, 89.5626, 10.0073, -0.00271737, -0.016594 
-5.0191, -2.11224, 89.5626, 10.0071, -0.00242382, 0.0608119 
-5.0191, -2.31633, 89.5626, 10.0059, -0.00184596, 0.110536 
-5.0191, -2.52041, 89.5626, 10.004, -0.00130248, 0.135273 
-5.0191, -2.72449, 89.5626, 10.0018, -0.00100722, 0.143485 
-5.0191, -2.92857, 89.5626, 9.99992, -0.000955788, 0.145914 
-5.0191, -3.13265, 89.5626, 9.9985, -0.00102177, 0.147327 
-5.0191, -3.33673, 89.5626, 9.99752, -0.00110164, 0.149002 
-5.0191, -3.54082, 89.5626, 9.99678, -0.00114892, 0.150547 
-5.0191, -3.7449, 89.5626, 9.99618, -0.00115619, 0.151803 
-5.0191, -3.94898, 89.5626, 9.99569, -0.00112874, 0.152897 
-5.0191, -4.15306, 89.5626, 9.99526, -0.00108444, 0.153689 
-5.0191, -4.35714, 89.5626, 9.9949, -0.00103179, 0.15433 
-5.0191, -4.56122, 89.5626, 9.9946, -0.000958643, 0.154927 
-5.0191, -4.76531, 89.5626, 9.99433, -0.000875451, 0.15531 
-5.0191, -4.96939, 89.5626, 9.99411, -0.00078983, 0.155741 
-5.0191, -5.17347, 89.5626, 9.99393, -0.000699095, 0.156057 
-5.0191, -5.37755, 89.5626, 9.99376, -0.000594921, 0.156232 
-5.0191, -5.58163, 89.5626, 9.99365, -0.000490742, 0.156519 
-5.0191, -5.78571, 89.5626, 9.99355, -0.000386593, 0.156658 
-5.0191, -5.9898, 89.5626, 9.99347, -0.000278586, 0.156732 
-5.0191, -6.19388, 89.5626, 9.99343, -0.000166776, 0.156862 
-5.0191, -6.39796, 89.5626, 9.9934, -5.48567e-05, 0.15685 
-5.0191, -6.60204, 89.5626, 9.9934, 5.48579e-05, 0.15685 
-5.0191, -6.80612, 89.5626, 9.99343, 0.000166776, 0.156862 
-5.0191, -7.0102, 89.5626, 9.99347, 0.000278585, 0.156732 
-5.0191, -7.21429, 89.5626, 9.99355, 0.00038659, 0.156658 
-5.0191, -7.41837, 89.5626, 9.99365, 0.00049074, 0.156519 
-5.0191, -7.62245, 89.5626, 9.99376, 0.000594924, 0.156232 
-5.0191, -7.82653, 89.5626, 9.99393, 0.0006991, 0.156057 
-5.0191, -8.03061, 89.5626, 9.99411, 0.000789832, 0.155741 
-5.0191, -8.23469, 89.5626, 9.99433, 0.000875448, 0.15531 
-5.0191, -8.43878, 89.5626, 9.9946, 0.000958637, 0.154927 
-5.0191, -8.64286, 89.5626, 9.9949, 0.00103178, 0.15433 
-5.0191, -8.84694, 89.5626, 9.99526, 0.00108444, 0.153689 
-5.0191, -9.05102, 89.5626, 9.99569, 0.00112874, 0.152897 
-5.0191, -9.2551, 89.5626, 9.99618, 0.00115619, 0.151803 
-5.0191, -9.45918, 89.5626, 9.99678, 0.00114892, 0.150548 
-5.0191, -9.66327, 89.5626, 9.99752, 0.00110164, 0.149002 
-5.0191, -9.86735, 89.5626, 9.9985, 0.00102177, 0.147327 
-5.0191, -10.0714, 89.5626, 9.99992, 0.000955789, 0.145914 
-5.0191, -10.2755, 89.5626, 10.0018, 0.00100722, 0.143485 
-5.0191, -10.4796, 89.5626, 10.004, 0.00130248, 0.135273 
-5.0191, -10.6837, 89.5626, 10.0059, 0.00184596, 0.110536 
-5.0191, -10.8878, 89.5626, 10.0071, 0.00242382, 0.0608119 
-5.0191, -11.0918, 89.5626, 10.0073, 0.00271737, -0.016594 
-5.0191, -11.2959, 89.5626, 10.0068, 0.00260904, -0.101469 
-5.0191, -11.5, 89.5626, 10.0059, 0.00224445, -0.170004 
-5.0191, 1.5, 89.5626, 10.0007, -0.000398498, -0.0481151 
-5.0191, 1.70408, 89.5626, 10.0006, -0.000373845, -0.0449168 
-5.0191, 1.90816, 89.5626, 10.0006, -0.000351773, -0.0420547 
-5.0191, 2.11224, 89.5626, 10.0005, -0.000332017, -0.0394935 
-5.0191, 2.31633, 89.5626, 10.0005, -0.000314344, -0.0372029 
-5.0191, 2.52041, 89.5626, 10.0004, -0.000298292, -0.0351236 
-5.0191, 2.72449, 89.5626, 10.0004, -0.000283762, -0.0332434 
-5.0191, 2.92857, 89.5626, 10.0004, -0.000270519, -0.0315332 
-5.0191, 3.13265, 89.5626, 10.0003, -0.000258336, -0.0299643 
-5.0191, 3.33673, 89.5626, 10.0003, -0.000247189, -0.0285349 
-5.0191, 3.54082, 89.5626, 10.0003, -0.000236863, -0.027218 
-5.0191, 3.7449, 89.5626, 10.0003, -0.000227261, -0.0260016 
-5.0191, 3.94898, 89.5626, 10.0002, -0.000218362, -0.0248845 
-5.0191, 4.15306, 89.5626, 10.0002, -0.00021001, -0.0238463 
-5.0191, 4.35714, 89.5626, 10.0002, -0.000202172, -0.0228838 
-5.0191, 4.56122, 89.5626, 10.0002, -0.000194799, -0.0219915 
-5.0191, 4.76531, 89.5626, 10.0002, -0.000187807, -0.0211579 
-5.0191, 4.96939, 89.5626, 10.0002, -0.000181185, -0.0203831 
-5.0191, 5.17347, 89.5626, 10.0002, -0.000174875, -0.0196593 
-5.0191, 5.37755, 89.5626, 10.0001, -0.000168833, -0.0189805 
-5.0191, 5.58163, 89.5626, 10.0001, -0.000163059, -0.0183485 
-5.0191, 5.78571, 89.5626, 10.0001, -0.000157496, -0.0177545 
-5.0191, 5.9898, 89.5626, 10.0001, -0.000152127, -0.0171967 
-5.0191, 6.19388, 89.5626, 10.0001, -0.000146944, -0.0166749 
-5.0191, 6.39796, 89.5626, 10.0001, -0.000141908, -0.0161831 
-5.0191, 6.60204, 89.5626, 10.0001, -0.000137015, -0.0157214 
-5.0191, 6.80612, 89.5626, 10.0001, -0.000132248, -0.0152875 
-5.0191, 7.0102, 89.5626, 10.0001, -0.000127585, -0.0148779 
-5.0191, 7.21429, 89.5626, 10.0001, -0.000123027, -0.0144936 
-5.0191, 7.41837, 89.5626, 10.0001, -0.000118553, -0.0141313 
-5.0191, 7.62245, 89.5626, 10.0001, -0.000114153, -0.0137892 
-5.0191, 7.82653, 89.5626, 10.0001, -0.000109829, -0.0134686 
-5.0191, 8.03061, 89.5626, 10.0001, -0.000105563, -0.0131657 
-5.0191, 8.23469, 89.5626, 10, -0.000101351, -0.0128805 
-5.0191, 8.43878, 89.5626, 10, -9.71869e-05, -0.0126127 
-5.0191, 8.64286, 89.5626, 10, -9.30628e-05, -0.01236 
-5.0191, 8.84694, 89.5626, 10, -8.89786e-05, -0.0121229 
-5.0191, 9.05102, 89.5626, 10, -8.49286e-05, -0.0119003 
-5.0191, 9.2551, 89.5626, 10, -8.09068e-05, -0.0116908 
-5.0191, 9.45918, 89.5626, 10, -7.69089e-05, -0.0114953 
-5.0191, 9.66327, 89.5626, 10, -7.29309e-05, -0.011312 
-5.0191, 9.86735, 89.5626, 10, -6.89718e-05, -0.0111404 
-5.0191, 10.0714, 89.5626, 10, -6.5036e-05, -0.0109812 
-5.0191, 10.2755, 89.5626, 10, -6.11153e-05, -0.0108326 
-5.0191, 10.4796, 89.5626, 10, -5.72047e-05, -0.010695 
-5.0191, 10.6837, 89.5626, 10, -5.32991e-05, -0.010568 
-5.0191, 10.8878, 89.5626, 10, -4.94003e-05, -0.0104507 
-5.0191, 11.0918, 89.5626, 10, -4.55186e-05, -0.0103438 
-5.0191, 11.2959, 89.5626, 10, -4.16497e-05, -0.0102464 
-5.0191, 11.5, 89.5626, 10, -3.77893e-05, -0.0101579 
