# x, y, z, Vx, Vy, Vz
-5.0191, 0, 89.5626, 10.0012, -0.000398669, -0.091758 
-5.0191, -1.5, 89.5626, 10.0026, -0.000762541, -0.0710359 
-5.0191, -1.70408, 89.5626, 10.0027, -0.000776534, -0.0434015 
-5.0191, -1.90816, 89.5626, 10.0027, -0.000754821, -0.0128227 
-5.0191, -2.11224, 89.5626, 10.0026, -0.00069511, 0.0183199 
-5.0191, -2.31633, 89.5626, 10.0024, -0.000599168, 0.0478638 
-5.0191, -2.52041, 89.5626, 10.0021, -0.000473174, 0.0739643 
-5.0191, -2.72449, 89.5626, 10.0016, -0.000331359, 0.0945096 
-5.0191, -2.92857, 89.5626, 10.001, -0.000199276, 0.109526 
-5.0191, -3.13265, 89.5626, 10.0004, -8.7511e-05, 0.120379 
-5.0191, -3.33673, 89.5626, 9.99979, -2.77967e-06, 0.127884 
-5.0191, -3.54082, 89.5626, 9.99918, 5.25345e-05, 0.132887 
-5.0191, -3.7449, 89.5626, 9.99862, 8.13247e-05, 0.136172 
-5.0191, -3.94898, 89.5626, 9.99815, 8.42386e-05, 0.138313 
-5.0191, -4.15306, 89.5626, 9.99774, 7.67662e-05, 0.139971 
-5.0191, -4.35714, 89.5626, 9.9974, 6.35983e-05, 0.141302 
-5.0191, -4.56122, 89.5626, 9.99711, 4.76334e-05, 0.142414 
-5.0191, -4.76531, 89.5626, 9.99687, 3.05749e-05, 0.14337 
-5.0191, -4.96939, 89.5626, 9.99668, 1.66072e-05, 0.144173 
-5.0191, -5.17347, 89.5626, 9.99652, 6.54884e-06, 0.144843 
-5.0191, -5.37755, 89.5626, 9.99639, 6.28817e-07, 0.1454 
-5.0191, -5.58163, 89.5626, 9.99629, -2.84361e-06, 0.145849 
-5.0191, -5.78571, 89.5626, 9.99621, -5.15897e-06, 0.146198 
-5.0191, -5.9898, 89.5626, 9.99614, -4.69579e-06, 0.146463 
-5.0191, -6.19388, 89.5626, 9.99611, -3.521e-06, 0.146619 
-5.0191, -6.39796, 89.5626, 9.99609, -1.30095e-06, 0.146699 
-5.0191, -6.60204, 89.5626, 9.99609, 1.30138e-06, 0.146699 
-5.0191, -6.80612, 89.5626, 9.99611, 3.52143e-06, 0.146619 
-5.0191, -7.0102, 89.5626, 9.99614, 4.69622e-06, 0.146463 
-5.0191, -7.21429, 89.5626, 9.99621, 5.15933e-06, 0.146198 
-5.0191, -7.41837, 89.5626, 9.99629, 2.84385e-06, 0.145849 
-5.0191, -7.62245, 89.5626, 9.99639, -6.28774e-07, 0.1454 
-5.0191, -7.82653, 89.5626, 9.99652, -6.54904e-06, 0.144843 
-5.0191, -8.03061, 89.5626, 9.99668, -1.66078e-05, 0.144173 
-5.0191, -8.23469, 89.5626, 9.99687, -3.05757e-05, 0.14337 
-5.0191, -8.43878, 89.5626, 9.99711, -4.76344e-05, 0.142414 
-5.0191, -8.64286, 89.5626, 9.9974, -6.35993e-05, 0.141302 
-5.0191, -8.84694, 89.5626, 9.99774, -7.67671e-05, 0.139971 
-5.0191, -9.05102, 89.5626, 9.99815, -8.42392e-05, 0.138313 
-5.0191, -9.2551, 89.5626, 9.99862, -8.1325e-05, 0.136172 
-5.0191, -9.45918, 89.5626, 9.99918, -5.25345e-05, 0.132888 
-5.0191, -9.66327, 89.5626, 9.99979, 2.77981e-06, 0.127884 
-5.0191, -9.86735, 89.5626, 10.0004, 8.75113e-05, 0.120379 
-5.0191, -10.0714, 89.5626, 10.001, 0.000199276, 0.109527 
-5.0191, -10.2755, 89.5626, 10.0016, 0.000331359, 0.0945096 
-5.0191, -10.4796, 89.5626, 10.0021, 0.000473174, 0.0739643 
-5.0191, -10.6837, 89.5626, 10.0024, 0.000599169, 0.0478637 
-5.0191, -10.8878, 89.5626, 10.0026, 0.00069511, 0.0183198 
-5.0191, -11.0918, 89.5626, 10.0027, 0.000754821, -0.0128228 
-5.0191, -11.2959, 89.5626, 10.0027, 0.000776534, -0.0434015 
-5.0191, -11.5, 89.5626, 10.0026, 0.000762541, -0.0710359 
-5.0191, 1.5, 89.5626, 10.0006, -0.000252476, -0.0491584 
-5.0191, 1.70408, 89.5626, 10.0005, -0.00024157, -0.0459101 
-5.0191, 1.90816, 89.5626, 10.0005, -0.000231767, -0.0429962 
-5.0191, 2.11224, 89.5626, 10.0004, -0.000222809, -0.0403742 
-5.0191, 2.31633, 89.5626, 10.0004, -0.000214592, -0.0380071 
-5.0191, 2.52041, 89.5626, 10.0004, -0.000207084, -0.0358627 
-5.0191, 2.72449, 89.5626, 10.0003, -0.000200162, -0.0339401 
-5.0191, 2.92857, 89.5626, 10.0003, -0.000193813, -0.0322001 
-5.0191, 3.13265, 89.5626, 10.0003, -0.000187841, -0.0306021 
-5.0191, 3.33673, 89.5626, 10.0003, -0.000182222, -0.0291317 
-5.0191, 3.54082, 89.5626, 10.0002, -0.00017693, -0.0277761 
-5.0191, 3.7449, 89.5626, 10.0002, -0.000171893, -0.026527 
-5.0191, 3.94898, 89.5626, 10.0002, -0.000167171, -0.025391 
-5.0191, 4.15306, 89.5626, 10.0002, -0.000162625, -0.0243345 
-5.0191, 4.35714, 89.5626, 10.0002, -0.000158256, -0.0233506 
-5.0191, 4.56122, 89.5626, 10.0002, -0.000154042, -0.0224334 
-5.0191, 4.76531, 89.5626, 10.0002, -0.000149951, -0.0215774 
-5.0191, 4.96939, 89.5626, 10.0001, -0.00014601, -0.0207871 
-5.0191, 5.17347, 89.5626, 10.0001, -0.00014216, -0.020051 
-5.0191, 5.37755, 89.5626, 10.0001, -0.000138398, -0.0193602 
-5.0191, 5.58163, 89.5626, 10.0001, -0.000134707, -0.0187115 
-5.0191, 5.78571, 89.5626, 10.0001, -0.000131072, -0.018102 
-5.0191, 5.9898, 89.5626, 10.0001, -0.000127505, -0.0175312 
-5.0191, 6.19388, 89.5626, 10.0001, -0.000123975, -0.0170007 
-5.0191, 6.39796, 89.5626, 10.0001, -0.000120491, -0.0165005 
-5.0191, 6.60204, 89.5626, 10.0001, -0.000117031, -0.0160288 
-5.0191, 6.80612, 89.5626, 10.0001, -0.000113591, -0.0155838 
-5.0191, 7.0102, 89.5626, 10.0001, -0.000110182, -0.015164 
-5.0191, 7.21429, 89.5626, 10.0001, -0.000106772, -0.0147727 
-5.0191, 7.41837, 89.5626, 10.0001, -0.00010339, -0.0144044 
-5.0191, 7.62245, 89.5626, 10.0001, -0.000100003, -0.0140564 
-5.0191, 7.82653, 89.5626, 10.0001, -9.66203e-05, -0.0137277 
-5.0191, 8.03061, 89.5626, 10, -9.32517e-05, -0.0134174 
-5.0191, 8.23469, 89.5626, 10, -8.98552e-05, -0.0131258 
-5.0191, 8.43878, 89.5626, 10, -8.6488e-05, -0.0128539 
-5.0191, 8.64286, 89.5626, 10, -8.30902e-05, -0.012597 
-5.0191, 8.84694, 89.5626, 10, -7.96961e-05, -0.0123548 
-5.0191, 9.05102, 89.5626, 10, -7.63061e-05, -0.0121268 
-5.0191, 9.2551, 89.5626, 10, -7.28709e-05, -0.0119118 
-5.0191, 9.45918, 89.5626, 10, -6.94823e-05, -0.0117135 
-5.0191, 9.66327, 89.5626, 10, -6.60311e-05, -0.011527 
-5.0191, 9.86735, 89.5626, 10, -6.26003e-05, -0.0113526 
-5.0191, 10.0714, 89.5626, 10, -5.91623e-05, -0.0111895 
