# x, y, z, fx, fy, fz
-5.0191, 0, 89.5626, 0, 0, 0 
-5.0191, -1.5, 89.5626, 0.00037815, 7.10008e-21, -0.258111 
-5.0191, -1.70408, 89.5626, 0.00226904, 4.26005e-20, -1.54865 
-5.0191, -1.90816, 89.5626, 0.00454177, 8.52686e-20, -3.09698 
-5.0191, -2.11224, 89.5626, 0.00989258, 1.85726e-19, -4.38853 
-5.0191, -2.31633, 89.5626, 0.0239307, 4.49281e-19, -4.95535 
-5.0191, -2.52041, 89.5626, 0.03948, 7.36045e-19, -5.39489 
-5.0191, -2.72449, 89.5626, 0.0535454, 2.68533e-19, -5.78856 
-5.0191, -2.92857, 89.5626, 0.0646097, -1.72445e-18, -6.08944 
-5.0191, -3.13265, 89.5626, 0.0752766, -3.85152e-18, -6.37869 
-5.0191, -3.33673, 89.5626, 0.0840969, -3.36583e-18, -6.64428 
-5.0191, -3.54082, 89.5626, 0.0902005, 9.63541e-19, -6.87508 
-5.0191, -3.7449, 89.5626, 0.0960468, 5.5126e-18, -7.10216 
-5.0191, -3.94898, 89.5626, 0.100836, 7.72824e-18, -7.30447 
-5.0191, -4.15306, 89.5626, 0.104484, 7.42435e-18, -7.48002 
-5.0191, -4.35714, 89.5626, 0.108037, 6.95662e-18, -7.65253 
-5.0191, -4.56122, 89.5626, 0.111004, 5.88424e-18, -7.79814 
-5.0191, -4.76531, 89.5626, 0.113505, 4.33178e-18, -7.92239 
-5.0191, -4.96939, 89.5626, 0.115941, 2.8065e-18, -8.04345 
-5.0191, -5.17347, 89.5626, 0.117845, 1.68991e-18, -8.13826 
-5.0191, -5.37755, 89.5626, 0.119442, 8.1062e-19, -8.21783 
-5.0191, -5.58163, 89.5626, 0.120958, 9.91612e-20, -8.29343 
-5.0191, -5.78571, 89.5626, 0.121953, 5.18446e-19, -8.34317 
-5.0191, -5.9898, 89.5626, 0.122731, 1.41203e-18, -8.38208 
-5.0191, -6.19388, 89.5626, 0.123399, 2.18284e-18, -8.41554 
-5.0191, -6.39796, 89.5626, 0.123552, 2.35985e-18, -8.42322 
-5.0191, -6.60204, 89.5626, 0.123552, 2.35991e-18, -8.42322 
-5.0191, -6.80612, 89.5626, 0.123399, 2.53921e-18, -8.41554 
-5.0191, -7.0102, 89.5626, 0.12273, 3.31994e-18, -8.38208 
-5.0191, -7.21429, 89.5626, 0.121953, 4.22497e-18, -8.34317 
-5.0191, -7.41837, 89.5626, 0.120958, 4.63946e-18, -8.29343 
-5.0191, -7.62245, 89.5626, 0.119441, 3.88447e-18, -8.21782 
-5.0191, -7.82653, 89.5626, 0.117846, 2.96259e-18, -8.13827 
-5.0191, -8.03061, 89.5626, 0.115941, 2.33815e-18, -8.04346 
-5.0191, -8.23469, 89.5626, 0.113505, 2.22596e-18, -7.92239 
-5.0191, -8.43878, 89.5626, 0.111004, 2.1816e-18, -7.79813 
-5.0191, -8.64286, 89.5626, 0.108037, 2.76093e-18, -7.65253 
-5.0191, -8.84694, 89.5626, 0.104484, 4.12579e-18, -7.48002 
-5.0191, -9.05102, 89.5626, 0.100836, 5.48165e-18, -7.30447 
-5.0191, -9.2551, 89.5626, 0.0960468, 5.64925e-18, -7.10215 
-5.0191, -9.45918, 89.5626, 0.0902005, 4.71639e-18, -6.87508 
-5.0191, -9.66327, 89.5626, 0.0840969, 3.74897e-18, -6.64428 
-5.0191, -9.86735, 89.5626, 0.0752766, 2.86806e-18, -6.37869 
-5.0191, -10.0714, 89.5626, 0.0646096, 2.04596e-18, -6.08944 
-5.0191, -10.2755, 89.5626, 0.0535453, 1.26289e-18, -5.78855 
-5.0191, -10.4796, 89.5626, 0.0394801, 7.94013e-19, -5.39489 
-5.0191, -10.6837, 89.5626, 0.0239308, 4.80491e-19, -4.95535 
-5.0191, -10.8878, 89.5626, 0.00989254, 1.98626e-19, -4.38853 
-5.0191, -11.0918, 89.5626, 0.00454174, 9.11914e-20, -3.09698 
-5.0191, -11.2959, 89.5626, 0.00226903, 4.55594e-20, -1.54864 
-5.0191, -11.5, 89.5626, 0.000378147, 7.59323e-21, -0.25811 
-5.0191, 1.5, 89.5626, 0, 0, 0 
-5.0191, 1.70408, 89.5626, 0, 0, 0 
-5.0191, 1.90816, 89.5626, 0, 0, 0 
-5.0191, 2.11224, 89.5626, 0, 0, 0 
-5.0191, 2.31633, 89.5626, 0, 0, 0 
-5.0191, 2.52041, 89.5626, 0, 0, 0 
-5.0191, 2.72449, 89.5626, 0, 0, 0 
-5.0191, 2.92857, 89.5626, 0, 0, 0 
-5.0191, 3.13265, 89.5626, 0, 0, 0 
-5.0191, 3.33673, 89.5626, 0, 0, 0 
-5.0191, 3.54082, 89.5626, 0, 0, 0 
-5.0191, 3.7449, 89.5626, 0, 0, 0 
-5.0191, 3.94898, 89.5626, 0, 0, 0 
-5.0191, 4.15306, 89.5626, 0, 0, 0 
-5.0191, 4.35714, 89.5626, 0, 0, 0 
-5.0191, 4.56122, 89.5626, 0, 0, 0 
-5.0191, 4.76531, 89.5626, 0, 0, 0 
-5.0191, 4.96939, 89.5626, 0, 0, 0 
-5.0191, 5.17347, 89.5626, 0, 0, 0 
-5.0191, 5.37755, 89.5626, 0, 0, 0 
-5.0191, 5.58163, 89.5626, 0, 0, 0 
-5.0191, 5.78571, 89.5626, 0, 0, 0 
-5.0191, 5.9898, 89.5626, 0, 0, 0 
-5.0191, 6.19388, 89.5626, 0, 0, 0 
-5.0191, 6.39796, 89.5626, 0, 0, 0 
-5.0191, 6.60204, 89.5626, 0, 0, 0 
-5.0191, 6.80612, 89.5626, 0, 0, 0 
-5.0191, 7.0102, 89.5626, 0, 0, 0 
-5.0191, 7.21429, 89.5626, 0, 0, 0 
-5.0191, 7.41837, 89.5626, 0, 0, 0 
-5.0191, 7.62245, 89.5626, 0, 0, 0 
-5.0191, 7.82653, 89.5626, 0, 0, 0 
-5.0191, 8.03061, 89.5626, 0, 0, 0 
-5.0191, 8.23469, 89.5626, 0, 0, 0 
-5.0191, 8.43878, 89.5626, 0, 0, 0 
-5.0191, 8.64286, 89.5626, 0, 0, 0 
-5.0191, 8.84694, 89.5626, 0, 0, 0 
-5.0191, 9.05102, 89.5626, 0, 0, 0 
-5.0191, 9.2551, 89.5626, 0, 0, 0 
-5.0191, 9.45918, 89.5626, 0, 0, 0 
-5.0191, 9.66327, 89.5626, 0, 0, 0 
-5.0191, 9.86735, 89.5626, 0, 0, 0 
-5.0191, 10.0714, 89.5626, 0, 0, 0 
-5.0191, 10.2755, 89.5626, 0, 0, 0 
-5.0191, 10.4796, 89.5626, 0, 0, 0 
-5.0191, 10.6837, 89.5626, 0, 0, 0 
-5.0191, 10.8878, 89.5626, 0, 0, 0 
-5.0191, 11.0918, 89.5626, 0, 0, 0 
-5.0191, 11.2959, 89.5626, 0, 0, 0 
-5.0191, 11.5, 89.5626, 0, 0, 0 
